學年度,學期,課程大類,標籤描述,課程名稱,科系,學院,學分,教師姓名,星期,起始節次,地點,飽和度,中籤率,全英,Cluster,教學大綱連結
111,1,系所,🎓 專題/論文,論文,公共事務夜碩二,,0.0,論文,0,0,,0.0,1.0,0,1,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78055_1SPPCE146400.pdf
111,1,系所,📝 一般選修,多元文化專題研究,公共事務夜碩一,,2.0,洪翠娥,5,10,公研C,0.0,1.0,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78054_1SPPCE145320.pdf
111,1,系所,📝 一般選修,社會科學研究方法,公共事務夜碩一,,2.0,張嘉仁,4,10,公研C,0.0,1.0,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78053_1SPPCE142520.pdf
111,1,系所,📝 一般選修,憲法專題研究,公共事務夜碩一,,2.0,魏培軒,2,10,公研C,0.0,1.0,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78052_1SPPCE158920.pdf
111,1,系所,📝 一般選修,民法專題研究,公共事務夜碩一,,2.0,林玫君,3,10,公研C,0.0,1.0,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78051_1SPPCE145020.pdf
111,1,系所,📝 一般選修,科技與公民素養專題研究,公共事務夜碩一,,2.0,鄭依萍,2,10,公研C,0.0,1.0,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78050_1SPPCE160820.pdf
111,1,系所,📝 一般選修,人工智慧與全球治理專題研究,公共事務夜碩一,,2.0,李其澤,1,10,公研C,0.0,1.0,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78049_1SPPCE160620.pdf
111,1,系所,🎓 專題/論文,論文,公共事務與公民教育學系,社會科學暨體育學院,0.0,論文,0,0,,0.05,19.0,0,1,
111,1,系所,🎓 專題/論文,論文指導(一),公共事務與公民教育學系,社會科學暨體育學院,3.0,論文,0,0,,0.25,1.6,0,1,
111,1,系所,📝 一般選修,論文寫作方法,公共事務與公民教育學系,社會科學暨體育學院,1.0,黃建銘,4,6,公研C,0.25,1.0,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78046_1SPPC2150310.pdf
111,1,系所,📝 一般選修,社會科學量化研究方法,公共事務與公民教育學系,社會科學暨體育學院,3.0,張嘉仁,4,5,公研A,0.4,1.625,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78045_1SPPC2009330.pdf
111,1,系所,📝 一般選修,全球治理專題研究,公共事務與公民教育學系,社會科學暨體育學院,3.0,李其澤,3,10,公研A,0.35,1.714285714,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78044_1SPPC2004630.pdf
111,1,系所,📝 一般選修,跨域治理專題研究,公共事務與公民教育學系,社會科學暨體育學院,2.0,李長晏,2,5,公研A,0.35,1.285714286,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78043_1SPPC2156820.pdf
111,1,系所,📝 一般選修,災害管理專題研究,公共事務與公民教育學系,社會科學暨體育學院,3.0,吳介英,1,6,公研A,0.2,1.0,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78041_1SPPC2156130.pdf
111,1,系所,🎓 專題/論文,多元文化專題研究,公共事務與公民教育學系,社會科學暨體育學院,3.0,洪翠娥,1,2,公研A,0.3,1.166666667,0,1,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78040_1SPPC2002430.pdf
111,1,系所,🔥 熱門選修,法學德文(一),公共事務與公民教育學系,社會科學暨體育學院,2.0,李其澤,2,5,T206,0.36,0.944444444,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78039_1SPPC0151820.pdf
111,1,系所,🔥 熱門選修,社會心理學,公共事務與公民教育學系,社會科學暨體育學院,2.0,鄭依萍,1,5,T304,0.24,1.25,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78038_1SPPC0137020.pdf
111,1,系所,🔥 熱門選修,地方派系與地方選舉,公共事務與公民教育學系,社會科學暨體育學院,2.0,林彣瑾,5,3,T204,0.0,1.0,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78037_1SPPC0135720.pdf
111,1,系所,📝 一般選修,政治社會學,公共事務與公民教育學系,社會科學暨體育學院,2.0,魏培軒,1,7,T302,0.02,16.0,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78036_1SPPC0132020.pdf
111,1,系所,🔥 熱門選修,公民科教材教法,公共事務與公民教育學系,社會科學暨體育學院,2.0,鄭依萍,4,5,T204,0.08,3.75,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78035_1SPPC0141220.pdf
111,1,系所,🔒 系上必修 (預代),多元文化通論,公共事務與公民教育學系,社會科學暨體育學院,2.0,洪翠娥,4,3,T203,0.02,37.0,0,4,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78034_1SPPC0132520.pdf
111,1,系所,🔒 系上必修 (預代),個體經濟學,公共事務與公民教育學系,社會科學暨體育學院,2.0,張嘉仁,3,3,公研C,0.027777778,27.0,0,4,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78033_1SPPC0133420.pdf
111,1,系所,🔥 熱門選修,政治發展,公共事務與公民教育學系,社會科學暨體育學院,2.0,劉兆隆,3,5,T204,0.04,17.5,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78032_1SPPC0132420.pdf
111,1,系所,📝 一般選修,統計學,公共事務與公民教育學系,社會科學暨體育學院,2.0,張嘉仁,3,7,公研C,0.055555556,17.5,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78031_1SPPC0132320.pdf
111,1,系所,📝 一般選修,行政法(一),公共事務與公民教育學系,社會科學暨體育學院,2.0,魏培軒,2,7,T105,1.014705882,1.188405797,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78030_1SPPC0141020.pdf
111,1,系所,🔥 熱門選修,刑法(一),公共事務與公民教育學系,社會科學暨體育學院,2.0,林玫君,2,5,T204,0.08,11.0,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78029_1SPPC0131120.pdf
111,1,系所,🔥 熱門選修,地方政府與政治,公共事務與公民教育學系,社會科學暨體育學院,2.0,李長晏,2,3,公研C,0.111111111,6.25,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78028_1SPPC0139420.pdf
111,1,系所,🔒 系上必修 (預代),性別社會學,公共事務與公民教育學系,社會科學暨體育學院,2.0,鄭依萍,1,7,T204,0.02,27.0,0,4,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78027_1SPPC0157320.pdf
111,1,系所,🔒 系上必修 (預代),應用倫理學,公共事務與公民教育學系,社會科學暨體育學院,2.0,洪翠娥,1,5,T204,0.02,31.0,0,4,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78026_1SPPC0132620.pdf
111,1,系所,🔥 熱門選修,童軍露營活動,公共事務與公民教育學系,社會科學暨體育學院,4.0,劉恬妏,6,1,T101,0.04,6.5,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78024_1SPPC0156540.pdf
111,1,系所,🔒 系上必修 (預代),民法(一),公共事務與公民教育學系,社會科學暨體育學院,2.0,林玫君,4,3,T101,0.04,26.0,0,4,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78023_1SPPC0030320.pdf
111,1,系所,🔥 熱門選修,公共預算與財務管理,公共事務與公民教育學系,社會科學暨體育學院,2.0,張嘉仁,3,5,公研C,0.527777778,1.473684211,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78022_1SPPC0137220.pdf
111,1,系所,🔒 系上必修 (預代),社會科學研究法,公共事務與公民教育學系,社會科學暨體育學院,2.0,鄭依萍,3,3,T102,0.04,20.5,0,4,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78021_1SPPC0157220.pdf
111,1,系所,📝 一般選修,服務學習活動設計與實施,公共事務與公民教育學系,社會科學暨體育學院,2.0,梁峻晢,2,12,T204,0.04,6.5,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78020_1SPPC0151320.pdf
111,1,系所,📝 一般選修,社會領域課程概論,公共事務與公民教育學系,社會科學暨體育學院,2.0,鄭依萍,2,7,T104,0.04,15.0,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78019_1SPPC0157420.pdf
111,1,系所,🔒 系上必修 (預代),教育法規,公共事務與公民教育學系,社會科學暨體育學院,2.0,魏培軒,2,5,T104,0.027777778,41.0,0,4,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78018_1SPPC0157020.pdf
111,1,系所,🇬🇧 全英課程,比較公民教育,公共事務與公民教育學系,社會科學暨體育學院,2.0,鄭依萍,4,7,T103,0.04,15.5,1,3,
111,1,系所,📝 一般選修,全球治理,公共事務與公民教育學系,社會科學暨體育學院,2.0,李其澤,1,7,公研C,0.083333333,10.0,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78016_1SPPC0001620.pdf
111,1,系所,📝 一般選修,人力資源管理,公共事務與公民教育學系,社會科學暨體育學院,2.0,黃建銘,1,5,公研C,0.0,1.0,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78015_1SPPC0151620.pdf
111,1,系所,🔒 系上必修 (預代),公共政策(一),公共事務與公民教育學系,社會科學暨體育學院,2.0,黃建銘,1,3,公研C,0.027777778,33.0,0,4,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78014_1SPPC0030620.pdf
111,1,系所,🔥 熱門選修,臺灣史,公共事務與公民教育學系,社會科學暨體育學院,2.0,李宗信,5,3,11101,0.42,1.571428571,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78013_1SPPC0146620.pdf
