學年度,學期,分類,學制,cluster標籤,課程名稱,英文課程名稱,開課班別(代表),科系,學院,學分,教師姓名,星期,起始節次,地點,飽和度,中籤率,全英,Cluster,教學大綱連結
112,2,專業課程,學士班,熱門課程,健康促進,Health Promotion,運三,運動學系,社會科學暨體育學院,3,林俊媛吳育欣,2,2,體育教室三,0.3875,1.580645161,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71033_1SPPE0117530.pdf
112,2,專業課程,學士班,熱門課程,體育原理,Principles of Physical Education,運三,運動學系,社會科學暨體育學院,3,游晴惠,1,5,體育教室三,0.625,1.12,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71032_1SPPE0120030.pdf
112,2,專業課程,學士班,熱門課程,體育科教材教法,Instructional Methods in Physical Education,運三,運動學系,社會科學暨體育學院,2,蘇泰源,1,3,體育教室三,0.5375,1.302325581,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71031_1SPPE0122720.pdf
112,2,專業課程,學士班,熱門課程,足球(二),Soccer II,運三,運動學系,社會科學暨體育學院,1,許志祥,5,3,田徑場,0.1625,1.384615385,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71030_1SPPE0012510.pdf
112,2,專業課程,學士班,一般課程,跆拳道(二),Taexwondo II,運二,運動學系,社會科學暨體育學院,1,蘇泰源,5,9,技擊室,0.2875,0.956521739,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71029_1SPPE0010210.pdf
112,2,專業課程,學士班,熱門課程,運動心理輔導與諮商,Sport Guidance and Counseling,運二,運動學系,社會科學暨體育學院,3,陳珍德,5,5,體育教室二,0.425,0.941176471,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71028_1SPPE0116030.pdf
112,2,專業課程,學士班,熱門課程,運動英語,Sports English,運二,運動學系,社會科學暨體育學院,3,陳珍德,5,2,體育教室二,0.4625,1.027027027,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71027_1SPPE0115230.pdf
112,2,專業課程,學士班,熱門課程,桌球(二),Table Tennis II,運二,運動學系,社會科學暨體育學院,1,劉羿德,4,7,桌球教室,0.35,0.964285714,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71026_1SPPE0002610.pdf
112,2,專業課程,學士班,熱門課程,游泳(四),Swimming IV,運二,運動學系,社會科學暨體育學院,1,林璇,4,5,本校游泳館,0.0875,1.714285714,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71025_1SPPE0013410.pdf
112,2,專業課程,學士班,熱門課程,運動復健與治療,Exercise Rehabilitation and Treatment,運二,運動學系,社會科學暨體育學院,3,魏大森,4,2,體育教室二,0.2625,1.095238095,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71024_1SPPE0119530.pdf
112,2,專業課程,學士班,一般課程,運動專長訓練,Specific Sports Training,運二,運動學系,社會科學暨體育學院,1,江勁彥王信民,3,9,體育教室二,0.6,1.041666667,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71023_1SPPE0006610.pdf
112,2,專業課程,學士班,熱門課程,運動與綠能生活,Sports and Green Life,運二,運動學系,社會科學暨體育學院,3,林彣瑾,3,0,03-04、14 體育教室二,0.075,1.333333333,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71022_1SPPE0147730.pdf
112,2,專業課程,學士班,熱門課程,田徑(四),Track and Field IV,運二,運動學系,社會科學暨體育學院,1,劉元凱,3,1,體育教室二,0.2125,0.941176471,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71021_1SPPE0010410.pdf
112,2,專業課程,學士班,熱門課程,羽球(二),Badminton II,運二,運動學系,社會科學暨體育學院,1,張家昌,2,7,羽球場,0.45,1,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71020_1SPPE0010710.pdf
