序號,課程代碼,開課班別(代表),課程名稱,教學大綱Syllabus,教學大綱連結,課程性質,課程性質2,全英語授課,學分,教師姓名,上課大樓,上課節次+地點,上限人數,登記人數,選上人數,可跨班,備註
266,67055,財金博一,不動產證券化專題研究Real Estate Asset Trust and Securitization,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67055_1MABE1180530.pdf,組選修,,否,3,謝企榮,經世館,(四) 08-10 32606,20,4,8,限本系,(財金組)
267,67054,財金三,商業與管理群教學實習Business and Management Teaching Practicum,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67054_1MABE0169620.pdf,系選修,,否,2,吳瑞翔陳俞如,教學二館,(一) 10-13 34101,50,8,10,可跨班系,
268,67053,財金二,消費者行為Consumer Behavior,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67053_1MABE0139530.pdf,系選修,,否,3,王正熙,經世館,(五) 02-04 32605,50,21,34,可跨班系,
269,67052,財金二,銀行實務Banking Practice,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67052_1MABE0171730.pdf,系選修,,否,3,蘇恒賢,經世館,(四) 07-09 32605,50,20,16,可跨班系,
270,67051,財金四,商業文摘Business Digest,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67051_1MABE0138630.pdf,系選修,,否,3,宋美妹,經世館,(四) 02-04 32605,50,8,13,可跨班系,
271,67050,財金三,英文書報討論English Seminar,無檔案Download,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67050_1MABE0140430_EN.pdf,系選修,,否,3,宋美妹,經世館,(四) 05-07 32410-二館,50,12,13,可跨班系,
272,67049,財金二,消費心理學Consumer Psychology,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67049_1MABE0169830.pdf,系選修,,否,3,宋美妹,經世館,(三) 05-07 32410-二館,50,36,68,限本系,
273,67047,財金碩二,書報討論(四)Seminar IV,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67047_1MABE2029510.pdf,系必修,,否,1,林逸程,經世館,(二) 05-06 32713,40,25,30,限本系,
274,67046,財金四,金融實務應用Finance Practice,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67046_1MABE0176830.pdf,系選修,,否,3,謝企榮,經世館,(五) 08-10 32606,50,9,11,可跨班系,配合師培18小時業界實習課程
275,67045,財金三,不動產投資Real Estate Investment,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67045_1MABE0170530.pdf,系選修,,否,3,謝企榮,經世館,(五) 05-07 32606,50,41,39,可跨班系,
